
---------- Begin Simulation Statistics ----------
simSeconds                                   0.024629                       # Number of seconds simulated (Second)
simTicks                                  24629078474                       # Number of ticks simulated (Tick)
finalTick                                 24629078474                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1963.87                       # Real time elapsed on the host (Second)
hostTickRate                                 12541077                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811852                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   109659                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     191421                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         86115682                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.399875                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.500780                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378742934                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      232                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377814226                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  63074                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2816551                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5150276                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 103                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            86015829                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.392380                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.540320                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5382447      6.26%      6.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5717023      6.65%     12.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  13721621     15.95%     28.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  11262575     13.09%     41.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7356444      8.55%     50.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  10098741     11.74%     62.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  11349282     13.19%     75.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10861340     12.63%     88.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6918337      8.04%     96.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   2660629      3.09%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   317989      0.37%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   223518      0.26%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    14608      0.02%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   125375      0.15%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     3687      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                     1494      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      684      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       35      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
